date,portfolio_return
2025-09-09,0.0003101187092489874
2025-09-14,0.004280242107245607
2025-09-19,0.014401226564820738
2025-09-24,-0.006040518807672304
2025-09-29,0.007907951996176357
2025-10-04,0.006319407914576497
2025-10-09,0.023440630794887025
2025-10-14,-0.0021727352517415333
2025-10-19,-0.005427277513484728
2025-10-24,-0.0018502661225720243
2025-10-29,0.00422436629616201
2025-11-03,0.014281526185881408
2025-11-08,0.007168708549012075
2025-11-13,0.0011389037074414886
2025-11-18,-0.007773774302191196
2025-11-23,0.0005715444215133975
2025-11-28,-0.0011023707231541666
2025-12-03,-0.0022732262287028446
2025-12-08,-0.0006975964720799679
2025-12-13,0.000815479632225492
2025-12-18,-0.0031974469494138206
2025-12-23,-6.34391950038807e-05
2025-12-28,-0.001202668996400298
2026-01-02,-0.001674197186483106
