cluster,trader,weight,weight_risk_parity,weight_after_tilt,ann_ret,ann_vol,sharpe,max_dd_emp,capacity_cap
0,0x7dacca323e44f168494c779bb5e7483c468ef410,1.4392331945282287e-14,1.7346158355532583e-14,1.291099873258708e-14,13.420129598273762,6.969783711660048,1.925472891766018,-0.24496894920142798,0.25
1,0x3a9953003034c9d4f512e91f7dbc0e0698142a5f,0.11002456361994334,0.166666666662347,0.09870026670112864,1.4660838886842582,0.9569921328235641,1.5319706802172353,-0.4168238393266459,0.2
2,0xaf68caebaa151dd592112a07e2344b3950e13561,0.16721013118399994,0.166666666662347,0.25292517003686676,1.6253243215379132,0.41401479033759164,3.925763908609661,-0.06965483815213884,0.15
3,0x697c8c14cc04181b26d227c2e97241e3b1e61207,0.14205435964377688,0.166666666662347,0.12743339052296296,0.9215778264934513,0.46592568386430494,1.977950257753658,-0.2487420092027568,0.2
4,0x71195903d21fc9c6c045e83c40b38f6cd049b388,2.6905779043893584e-12,3.2251006666853413e-12,2.413649716082648e-12,2.0616396077389183,1.0648805737327711,1.9360289393881658,-0.4371520115657808,0.25
5,0x7f725a5f3e5534493cb895fdfdaed6e124c8ea82,1.7715434917396106e-12,1.0143253023396247e-12,1.589207076624607e-12,3.0860817656931805,0.7614183172752316,4.053070034796192,-0.17870268032257774,0.25
6,0x3c0e813045a321155e9baf4d39ef35c881eced75,0.1936214492879497,0.166666666662347,0.17369292869720293,4.055106048947553,1.5041389270716419,2.6959650973479587,-0.3928447345748088,0.2
7,0x55d51be4b89897654a5899a41a6b8d0df01bc91e,0.1706983639747683,0.166666666662347,0.15312920583765036,3.721872642694815,1.5659264164695854,2.3767864208369742,-0.7744157901522526,0.25
8,0x706bb519b05b7dc01d048af9a5e29d1ef5d6d9e3,0.21639113224882228,0.166666666662347,0.19411903816764217,0.8033855108954773,0.2666390398359466,3.01300781532131,-0.04923940245051533,0.25
9,0xd7dee6aa08a0abf95e8631645e1cb6bb923934ed,9.498299182895802e-12,1.1765663588833675e-11,8.52068512443522e-12,0.26507572946781893,0.14149171096913166,1.873436455409383,-0.05467876070053257,0.25
10,0x3895d155b005191686476a39580d43258a518e46,2.674434893785644e-11,9.863092570402334e-12,2.3991682275902275e-11,0.8154374277277534,0.12958721967766068,6.292575994423664,-0.027093907774668892,0.2
11,0xc29d294b9c254d20ba7e20923f31a8fe91d4faeb,2.0136191862330002e-14,3.246042168461664e-14,1.806367089100472e-14,7.4156324624074905,5.151283658094705,1.4395698149440086,-1.2809614715840403,0.25
